Larsen & Toubro Limited (LT.NS),Titan Company Limited (TITAN.NS),Adani Ports and Special Economic Zone Limited (ADANIPORTS.NS),Grasim Industries Limited (GRASIM.NS),ICICI Bank Limited (ICICIBANK.NS)
0.025436651,0.056503241,0.062430764,0.033165921,0.025534340
-0.007230401,-0.001833277,-0.034095704,-0.007380191,0.026846815
0.018169836,-0.092695034,-0.335346446,-0.083825934,-0.070861882
0.005249784,-0.021366699,-0.076885466,-0.021032782,-0.069652579
0.024941562,-0.040897098,0.065209989,0.021622390,0.046384720
0.086698631,0.055965961,0.003521341,0.027211477,0.051392099
-0.040482762,0.000882257,-0.026198745,-0.002268860,-0.029350348
0.059531860,0.096980400,0.093154426,0.062937480,0.077425899
0.138159896,0.174656151,0.120007856,0.160362365,0.136086000
-0.061768009,-0.141532518,-0.100885351,-0.081658149,-0.064550339
-0.024085827,-0.109296029,-0.157531932,-0.184586308,0.012685130
-0.043261428,-0.031710194,0.095983185,0.016722803,0.017489574
-0.027776992,-0.004100704,0.086153449,0.039362981,-0.016979324
-0.050887574,0.073138167,-0.012438163,-0.080700657,-0.062070823
0.006966269,-0.068677710,-0.019544883,0.060926194,0.061675963
0.069175589,0.058238186,0.063603998,-0.024780398,0.034857799
-0.001076640,-0.003388760,-0.013380127,-0.035279257,-0.122768951
0.036056944,0.093012523,-0.064790765,0.030009877,0.126176672
0.018056901,0.111131670,-0.014094051,0.101260894,-0.025968467
0.042309532,0.107748751,0.098623547,-0.033957611,0.050830958
0.063005401,-0.010469219,-0.043291327,0.033905953,0.075604396
0.021891973,0.078643579,-0.093576808,0.018381985,-0.050483436
0.086700279,0.065528583,0.051328699,0.047206362,0.093926820
-0.058525122,-0.044514464,0.037874118,-0.034813626,0.030641132
-0.016632603,0.097012291,0.037727790,0.172176071,-0.026885415
0.074731369,-0.009524486,0.245894363,0.120877748,0.101631117
0.035288829,-0.103393649,0.050912301,0.121062852,0.003631285
0.128300715,0.131416903,0.149250646,0.056151318,0.115316326
0.171863863,0.143586541,0.125622646,0.111218955,0.170592585
0.030016138,-0.030538280,0.050298736,0.043874863,0.096408558
-0.048081189,0.083947226,-0.040965618,0.093187315,-0.112332629
0.033335097,0.052021808,0.113984540,0.061939690,0.121135327
-0.033061470,0.089527918,-0.091053299,0.021088382,-0.013408304
0.012080750,0.063009949,0.058447223,0.049217363,0.055484422
0.037221775,-0.089943820,0.104076590,0.143075356,-0.145202591
0.099214528,0.037472295,0.133746984,0.057040998,0.148362488
-0.468831169,-0.343579308,-0.361719061,-0.443394245,-0.535907336
-0.153046188,0.053208450,-0.079485681,-0.133440047,-0.057114128
0.051924341,-0.000168386,0.009204115,0.045256130,-0.025206887
-0.024919119,0.023780462,-0.043852459,-0.058360788,0.048803117
-0.107098568,-0.147883073,-0.035990054,0.023251382,0.096664066
-0.000814636,0.043682392,-0.045856493,0.050276423,0.063384084
0.099033407,0.131927261,0.116559971,0.026229284,0.055453078
-0.044456992,0.044113655,-0.032403610,-0.108868416,-0.036494569
-0.119584805,-0.263501680,-0.086478612,-0.159510370,-0.029439472
-0.002800670,0.074136510,-0.015114578,0.030631222,0.030656600
0.134185098,0.062472183,0.056676273,-0.017040966,0.038234600
-0.027251492,0.014414570,0.037296334,0.047991567,0.017177914
0.066664260,0.102158777,0.138304905,0.094294539,0.125717853
-0.016512626,0.028677331,-0.039281878,0.072131780,-0.040839640
-0.093776155,0.065073308,-0.144839805,-0.145076283,0.011798601
0.003512921,0.004189044,0.056873872,-0.049236919,0.013883104
0.094240838,0.088987164,0.127991248,0.037748918,0.000422357
0.019576108,0.046175704,-0.031519523,-0.225481375,0.139295775
-0.076605613,-0.107125124,-0.164943752,-0.045031816,-0.121256750
0.049103720,-0.022928579,-0.043325069,0.039625293,0.111938120
0.020886125,0.037101989,0.066541588,0.017898947,0.094823336
-0.074739236,-0.024587365,-0.050917861,-0.032725828,-0.037763253
-0.022256276,-0.090767692,-0.038633176,-0.051836892,0.005598321
